pl_rade,pl_radj,pl_bmasse,pl_bmassj,st_teff,pl_eqt,Pl_eh_vol,Pl_J_vol,dens_pl_ert,dens_pl_jup
1.992,0.178,5.72,0.018,5585,1056,7.904383488,0.005639752,0.72365116,2984.573098
2.28,0.203,9.79,0.0308,5450,1038,11.852352,0.008365427,0.825998744,3442.962755
2.63,0.235,9.32,0.02932,5450,800,18.191447,0.012977875,0.512330137,2112.66239
1.85,0.165,4,0.01259,3709,514,6.331625,0.004492125,0.631751152,2620.858773
2.02,0.18,5.3,0.01668,3709,415,8.242408,0.005832,0.643017803,2674.534798
2.926,0.261,18.467,0.0581,4600,1253,25.05087878,0.017779581,0.737181826,3055.795818
1.704,0.152,4.53,0.01425,4552,871,4.947761664,0.003511808,0.91556813,3794.49358
2.587,0.231,9.6,0.0302,4552,665,17.313676,0.012326391,0.554476549,2291.082485
11.994,1.07,301.9385,0.95,6261,1397,1725.409296,1.225043,0.174995788,725.1736149
13.126,1.171,211.99261,0.667,5570,1192,2261.503164,1.605723211,0.093739959,388.4408275
9.55,0.852,55.30242,0.174,5710,1526,870.983875,0.618470208,0.063494376,263.0874829
2.765,0.247,9.1,0.02863,4435,941,21.13904713,0.015069223,0.430484205,1776.643168
10.4,0.928,4386.054,13.8,4710,163,1124.864,0.799178752,3.899197134,16147.48462
